rpm,mode,stroke(1:2stroke/2:4stroke),encoder,cylinder,count,Pcomp,TDC Marker Offset,Firing Tolerance,CylinderDiameter,CombustionChamberStroke,ConnectingRodLength,InitialPressure,InitialTemperature,EngineRpm,CrankRadius,CompressionRatio,SpecificGravity,IndexLowCalorificPower,,,,
9323,1,1,360,6,360,0,0,0,42,136,163.8,0,27.8,93.23,68,12.71,0.87,0,,,,
angle,rawdata,pressure,v,p,dp,dv,hrr,tk,dqw,dqt,k,pmi,w,pt(ns),ROHR[Kcal/cycle],SFC[g/HP.H],,,,,,Pmi (bar)
75,76.483,2.078,152929.267,1.973,0.012,-1417.597,-0.123,621.753,0.13,0.007,1.364,0,0,150540,,,,,285,3.025,1.052,
76,76.245,1.84,151502.844,1.986,0.012,-1435.202,-0.133,619.952,0.127,-0.006,1.364,0,0,150080,,,,,284,3.037,1.051,
77,76.591,2.186,150058.96,1.995,0.004,-1452.516,-0.216,616.799,0.122,-0.094,1.365,0,0,149828,,,,,283,3.051,1.056,
78,76.291,1.886,148597.913,1.991,-0.012,-1469.525,-0.37,609.788,0.11,-0.26,1.365,0,0,149430,,,,,282,3.076,1.085,
79,76.591,2.186,147120.018,1.97,-0.03,-1486.212,-0.536,597.344,0.09,-0.446,1.366,0,0,149282,,,,,281,3.11,1.14,
80,76.591,2.186,145625.601,1.934,-0.04,-1502.564,-0.626,580.403,0.062,-0.564,1.368,0,0,148842,,,,,280,3.151,1.217,
81,76.083,1.678,144115.007,1.894,-0.037,-1518.564,-0.588,562.461,0.033,-0.555,1.37,0,0,148324,,,,,279,3.197,1.303,
82,76.006,1.601,142588.595,1.864,-0.022,-1534.198,-0.449,547.559,0.008,-0.441,1.371,0,0,148872,,,,,278,3.241,1.377,
83,76.099,1.694,141046.738,1.85,-0.005,-1549.451,-0.294,537.734,-0.008,-0.302,1.372,0,0,148204,,,,,277,3.28,1.43,
84,76.437,2.032,139489.824,1.852,0.008,-1564.308,-0.183,532.349,-0.017,-0.2,1.373,0,0,147982,,,,,276,3.31,1.458,
85,76.498,2.093,137918.259,1.865,0.017,-1578.753,-0.103,529.914,-0.022,-0.125,1.373,0,0,147692,,,,,275,3.338,1.473,
86,76.191,1.786,136332.461,1.888,0.03,-1592.771,-0.001,530.297,-0.022,-0.023,1.373,0,0,147710,,,,,274,3.375,1.487,
87,75.914,1.509,134732.865,1.926,0.048,-1606.347,0.137,534.753,-0.015,0.122,1.372,0,0,146928,,,,,273,3.427,1.501,
88,76.383,1.978,133119.919,1.982,0.063,-1619.467,0.252,543.751,-0.002,0.251,1.372,0,0,147516,,,,,272,3.495,1.513,
89,76.621,2.216,131494.089,2.049,0.066,-1632.115,0.262,555.113,0.016,0.278,1.37,0,0,146582,,,,,271,3.57,1.521,
90,76.337,1.932,129855.852,2.11,0.054,-1644.276,0.144,564.705,0.031,0.175,1.37,0,0,146760,,,,,270,3.645,1.535,
91,77.144,2.739,128205.703,2.155,0.034,-1655.937,-0.035,569.185,0.037,0.003,1.369,0,0,146882,,,,,269,3.719,1.564,
92,76.583,2.178,126544.149,2.179,0.018,-1667.083,-0.174,568.235,0.035,-0.139,1.369,0,0,147012,,,,,268,3.794,1.615,
93,76.168,1.763,124871.714,2.193,0.012,-1677.699,-0.225,564.22,0.028,-0.197,1.37,0,0,146632,,,,,267,3.871,1.678,
94,76.744,2.339,123188.933,2.205,0.013,-1687.771,-0.218,559.765,0.02,-0.198,1.37,0,0,146984,,,,,266,3.942,1.737,
95,76.506,2.101,121496.357,2.22,0.015,-1697.286,-0.215,555.714,0.012,-0.202,1.37,0,0,146638,,,,,265,4.003,1.783,
96,76.867,2.462,119794.551,2.234,0.013,-1706.23,-0.234,551.373,0.004,-0.23,1.371,0,0,147108,,,,,264,4.055,1.821,
97,76.744,2.339,118084.093,2.246,0.013,-1714.589,-0.237,546.467,-0.005,-0.242,1.371,0,0,147000,,,,,263,4.104,1.858,
98,76.683,2.278,116365.573,2.262,0.022,-1722.35,-0.173,542.45,-0.012,-0.186,1.372,0,0,147418,,,,,262,4.161,1.899,
99,76.222,1.817,114639.596,2.293,0.041,-1729.501,-0.045,541.725,-0.015,-0.06,1.372,0,0,147108,,,,,261,4.235,1.942,
100,76.644,2.239,112906.779,2.346,0.063,-1736.029,0.097,545.719,-0.009,0.088,1.371,0,0,147614,,,,,260,4.333,1.987,
101,77.09,2.685,111167.751,2.418,0.08,-1741.921,0.2,553.931,0.003,0.204,1.371,0,0,147294,,,,,259,4.454,2.036,
102,77.052,2.647,109423.153,2.504,0.091,-1747.165,0.248,564.663,0.02,0.268,1.37,0,0,147820,,,,,258,4.589,2.085,
103,76.568,2.162,107673.64,2.597,0.095,-1751.751,0.251,576.253,0.039,0.29,1.368,0,0,147968,,,,,257,4.723,2.126,
104,77.267,2.862,105919.875,2.692,0.094,-1755.666,0.223,587.516,0.057,0.28,1.367,0,0,148410,,,,,256,4.841,2.149,
105,77.152,2.747,104162.534,2.784,0.089,-1758.9,0.166,597.503,0.073,0.239,1.366,0,0,148332,,,,,255,4.94,2.156,
106,77.651,3.246,102402.304,2.869,0.081,-1761.443,0.089,605.406,0.086,0.175,1.366,0,0,148954,,,,,254,5.03,2.161,
107,77.021,2.616,100639.882,2.945,0.072,-1763.283,0.007,610.798,0.094,0.101,1.365,0,0,148534,,,,,253,5.126,2.181,
108,77.405,3,98875.974,3.012,0.063,-1764.413,-0.068,613.735,0.098,0.03,1.365,0,0,149276,,,,,252,5.243,2.231,
