rpm,mode,stroke(1:2stroke/2:4stroke),encoder,cylinder,count,Pcomp,TDC Marker Offset,Firing Tolerance,CylinderDiameter,CombustionChamberStroke,ConnectingRodLength,InitialPressure,InitialTemperature,EngineRpm,CrankRadius,CompressionRatio,SpecificGravity,IndexLowCalorificPower,,,,
11085,1,1,360,4,360,0,0,0,42,136,163.8,0.29,35,110.85,68,12.71,0.87,0,,,,
angle,rawdata,pressure,v,p,dp,dv,hrr,tk,dqw,dqt,k,pmi,w,pt(ns),ROHR[Kcal/cycle],SFC[g/HP.H],,,,,,
62,77.452,1.392,169774.772,1.786,-0.029,-1168.857,-0.485,499.659,-0.071,-0.556,1.376,0,0,128408,,,,,298,3.579,1.793,
63,78.282,2.222,168595.865,1.753,-0.036,-1188.941,-0.559,486.779,-0.096,-0.656,1.377,0,0,128478,,,,,297,3.728,1.975,
64,77.398,1.338,167396.927,1.717,-0.032,-1208.915,-0.508,473.544,-0.122,-0.63,1.379,0,0,128228,,,,,296,3.853,2.136,
65,77.59,1.53,166178.075,1.691,-0.019,-1228.767,-0.371,463.039,-0.143,-0.514,1.38,0,0,128422,,,,,295,3.955,2.264,
66,77.59,1.53,164939.438,1.68,-0.005,-1248.484,-0.229,456.442,-0.156,-0.385,1.38,0,0,128706,,,,,294,4.039,2.359,
67,78.128,2.068,163681.157,1.681,0.008,-1268.052,-0.105,453.334,-0.162,-0.268,1.381,0,0,128200,,,,,293,4.111,2.43,
68,77.851,1.791,162403.388,1.696,0.023,-1287.457,0.047,453.733,-0.162,-0.115,1.381,0,0,128336,,,,,292,4.173,2.477,
69,77.382,1.322,161106.301,1.73,0.046,-1306.688,0.268,459.12,-0.153,0.115,1.38,0,0,128318,,,,,291,4.216,2.486,
70,77.505,1.445,159790.076,1.789,0.073,-1325.729,0.516,471.052,-0.131,0.386,1.379,0,0,128650,,,,,290,4.234,2.445,
71,77.974,1.914,158454.91,1.873,0.093,-1344.567,0.697,489.005,-0.097,0.6,1.377,0,0,128650,,,,,289,4.22,2.347,
72,78.405,2.345,157101.015,1.971,0.099,-1363.187,0.745,510.049,-0.057,0.689,1.375,0,0,128194,,,,,288,4.18,2.209,
73,78.036,1.976,155728.614,2.068,0.094,-1381.575,0.672,530.615,-0.017,0.655,1.373,0,0,128308,,,,,287,4.131,2.063,
74,78.205,2.145,154337.947,2.156,0.081,-1399.717,0.525,548.184,0.017,0.542,1.371,0,0,128040,,,,,286,4.097,1.941,
75,78.243,2.183,152929.267,2.228,0.063,-1417.597,0.336,561.383,0.042,0.379,1.37,0,0,127580,,,,,285,4.102,1.874,
76,78.305,2.245,151502.844,2.282,0.043,-1435.202,0.132,569.452,0.058,0.19,1.369,0,0,127364,,,,,284,4.159,1.877,
77,78.92,2.86,150058.96,2.316,0.028,-1452.516,-0.025,572.653,0.064,0.038,1.369,0,0,126592,,,,,283,4.263,1.947,
78,78.328,2.268,148597.913,2.342,0.026,-1469.525,-0.057,573.239,0.064,0.007,1.369,0,0,126788,,,,,282,4.387,2.045,
79,78.22,2.16,147120.018,2.372,0.039,-1486.212,0.053,574.971,0.067,0.12,1.369,0,0,126062,,,,,281,4.492,2.12,
80,77.805,1.745,145625.601,2.42,0.057,-1502.564,0.214,580.646,0.078,0.291,1.368,0,0,125700,,,,,280,4.545,2.125,
81,78.951,2.891,144115.007,2.484,0.066,-1518.564,0.281,589.7,0.095,0.376,1.367,0,0,125634,,,,,279,4.541,2.057,
82,79.02,2.96,142588.595,2.547,0.056,-1534.198,0.171,598.336,0.112,0.283,1.366,0,0,125170,,,,,278,4.502,1.955,
83,78.343,2.283,141046.738,2.591,0.029,-1549.451,-0.087,602.064,0.119,0.032,1.366,0,0,125484,,,,,277,4.468,1.877,
84,78.981,2.921,139489.824,2.604,-0.003,-1564.308,-0.383,598.387,0.111,-0.272,1.366,0,0,124886,,,,,276,4.475,1.871,
85,78.758,2.698,137918.259,2.587,-0.028,-1578.753,-0.602,587.845,0.089,-0.513,1.367,0,0,125108,,,,,275,4.537,1.95,
86,78.605,2.545,136332.461,2.553,-0.037,-1592.771,-0.674,573.406,0.059,-0.614,1.369,0,0,125252,,,,,274,4.651,2.098,
87,78.42,2.36,134732.865,2.519,-0.027,-1606.347,-0.585,559.151,0.03,-0.556,1.37,0,0,124976,,,,,273,4.802,2.283,
88,78.474,2.414,133119.919,2.503,-0.003,-1619.467,-0.373,548.906,0.008,-0.365,1.371,0,0,125120,,,,,272,4.97,2.467,
89,78.497,2.437,131494.089,2.516,0.03,-1632.115,-0.107,545.102,0,-0.107,1.371,0,0,124474,,,,,271,5.133,2.617,
90,78.359,2.299,129855.852,2.562,0.061,-1644.276,0.132,548.126,0.005,0.136,1.371,0,0,125000,,,,,270,5.271,2.709,
91,78.766,2.706,128205.703,2.634,0.081,-1655.937,0.279,556.374,0.021,0.299,1.37,0,0,124852,,,,,269,5.372,2.738,
92,78.766,2.706,126544.149,2.72,0.087,-1667.083,0.303,566.955,0.041,0.345,1.369,0,0,124168,,,,,268,5.434,2.714,
93,79.051,2.991,124871.714,2.803,0.078,-1677.699,0.212,576.688,0.06,0.272,1.368,0,0,124444,,,,,267,5.466,2.663,
94,78.728,2.668,123188.933,2.872,0.059,-1687.771,0.037,582.95,0.072,0.11,1.368,0,0,124428,,,,,266,5.486,2.614,
95,79.404,3.344,121496.357,2.919,0.033,-1697.286,-0.173,584.189,0.074,-0.099,1.368,0,0,123986,,,,,265,5.513,2.594,
96,78.92,2.86,119794.551,2.939,0.009,-1706.23,-0.37,580.103,0.065,-0.305,1.368,0,0,124044,,,,,264,5.562,2.623,
97,79.081,3.021,118084.093,2.938,-0.009,-1714.589,-0.509,571.594,0.046,-0.463,1.369,0,0,124172,,,,,263,5.635,2.697,
98,78.866,2.806,116365.573,2.924,-0.017,-1722.35,-0.56,560.548,0.022,-0.538,1.37,0,0,123946,,,,,262,5.727,2.803,
99,79.266,3.206,114639.596,2.909,-0.011,-1729.501,-0.518,549.361,-0.003,-0.521,1.371,0,0,124340,,,,,261,5.826,2.917,
100,78.635,2.575,112906.779,2.904,0.004,-1736.029,-0.41,540.2,-0.023,-0.433,1.372,0,0,124530,,,,,260,5.924,3.02,
101,78.62,2.56,111167.751,2.917,0.022,-1741.921,-0.281,534.265,-0.037,-0.318,1.372,0,0,124670,,,,,259,6.022,3.105,
102,79.381,3.321,109423.153,2.949,0.04,-1747.165,-0.168,531.591,-0.044,-0.212,1.373,0,0,125116,,,,,258,6.13,3.181,
103,79.035,2.975,107673.64,2.997,0.055,-1751.751,-0.079,531.588,-0.045,-0.125,1.373,0,0,124884,,,,,257,6.263,3.266,
104,78.997,2.937,105919.875,3.059,0.069,-1755.666,-0.004,533.757,-0.042,-0.047,1.373,0,0,125334,,,,,256,6.427,3.368,
105,78.951,2.891,104162.534,3.134,0.082,-1758.9,0.06,537.845,-0.035,0.024,1.372,0,0,125560,,,,,255,6.612,3.478,
106,79.481,3.421,102402.304,3.221,0.091,-1761.443,0.098,543.418,-0.025,0.073,1.372,0,0,125296,,,,,254,6.796,3.575,
107,79.227,3.167,100639.882,3.315,0.094,-1763.283,0.093,549.554,-0.014,0.08,1.371,0,0,126146,,,,,253,6.959,3.644,
108,79.666,3.606,98875.974,3.408,0.091,-1764.413,0.047,555.095,-0.004,0.044,1.37,0,0,125796,,,,,252,7.094,3.686,
109,79.489,3.429,97111.297,3.495,0.083,-1764.821,-0.026,559.123,0.003,-0.023,1.37,0,0,126076,,,,,251,7.213,3.718,
110,79.75,3.69,95346.576,3.572,0.072,-1764.5,-0.112,561.143,0.006,-0.106,1.37,0,0,126412,,,,,250,7.338,3.766,
111,79.496,3.436,93582.544,3.639,0.061,-1763.44,-0.197,560.989,0.004,-0.194,1.37,0,0,126384,,,,,249,7.493,3.854,
112,79.958,3.898,91819.943,3.695,0.052,-1761.635,-0.261,558.891,-0.003,-0.263,1.37,0,0,126656,,,,,248,7.694,3.999,
113,80.05,3.99,90059.524,3.746,0.052,-1759.077,-0.275,555.754,-0.012,-0.287,1.37,0,0,126674,,,,,247,7.943,4.197,
114,79.681,3.621,88302.042,3.802,0.061,-1755.759,-0.235,553.017,-0.02,-0.255,1.371,0,0,126782,,,,,246,8.228,4.426,
115,79.512,3.452,86548.262,3.87,0.074,-1751.674,-0.18,551.741,-0.025,-0.204,1.371,0,0,127036,,,,,245,8.528,4.658,
116,79.819,3.759,84798.952,3.949,0.081,-1746.816,-0.165,551.609,-0.027,-0.192,1.371,0,0,127292,,,,,244,8.822,4.873,
117,80.849,4.79,83054.889,4.028,0.075,-1741.181,-0.214,551.085,-0.031,-0.245,1.371,0,0,127586,,,,,243,9.097,5.069,
118,80.012,3.952,81316.852,4.097,0.065,-1734.763,-0.283,548.881,-0.038,-0.322,1.371,0,0,127624,,,,,242,9.353,5.256,
119,80.227,4.167,79585.626,4.16,0.065,-1727.558,-0.294,545.469,-0.048,-0.342,1.371,0,0,127720,,,,,241,9.606,5.446,
120,80.142,4.082,77862,4.235,0.089,-1719.562,-0.194,543.215,-0.056,-0.25,1.372,0,0,127980,,,,,240,9.88,5.645,
121,80.119,4.059,76146.766,4.344,0.134,-1710.773,-0.001,544.995,-0.055,-0.056,1.371,0,0,128104,,,,,239,10.195,5.851,
122,80.434,4.374,74440.72,4.504,0.185,-1701.187,0.204,552.34,-0.041,0.163,1.371,0,0,128210,,,,,238,10.56,6.056,
123,80.48,4.42,72744.659,4.709,0.221,-1690.802,0.329,564.355,-0.016,0.313,1.37,0,0,128476,,,,,237,10.965,6.256,
124,80.819,4.759,71059.383,4.938,0.231,-1679.617,0.321,578.091,0.013,0.334,1.368,0,0,128740,,,,,236,11.393,6.455,
125,81.903,5.843,69385.691,5.163,0.216,-1667.632,0.204,590.2,0.039,0.243,1.367,0,0,128614,,,,,235,11.829,6.666,
126,81.88,5.82,67724.385,5.367,0.192,-1654.846,0.057,598.8,0.056,0.113,1.366,0,0,128808,,,,,234,12.267,6.9,
127,80.957,4.897,66076.266,5.551,0.178,-1641.259,-0.043,604.203,0.067,0.023,1.366,0,0,128580,,,,,233,12.707,7.156,
128,81.641,5.581,64442.134,5.728,0.18,-1626.872,-0.071,608.106,0.074,0.003,1.365,0,0,128576,,,,,232,13.151,7.423,
129,82.279,6.219,62822.788,5.915,0.195,-1611.687,-0.047,612.188,0.081,0.034,1.365,0,0,128152,,,,,231,13.607,7.692,
130,82.079,6.019,61219.024,6.12,0.215,-1595.707,-0.01,617.267,0.091,0.08,1.365,0,0,128154,,,,,230,14.077,7.957,
131,82.264,6.204,59631.639,6.345,0.232,-1578.933,0.01,623.275,0.103,0.113,1.364,0,0,127924,,,,,229,14.564,8.219,
132,82.41,6.35,58061.422,6.582,0.242,-1561.369,0.001,629.586,0.116,0.117,1.363,0,0,127608,,,,,228,15.073,8.491,
