rpm,mode,stroke(1:2stroke/2:4stroke),encoder,cylinder,count,Pcomp,TDC Marker Offset,Firing Tolerance,CylinderDiameter,CombustionChamberStroke,ConnectingRodLength,InitialPressure,InitialTemperature,EngineRpm,CrankRadius,CompressionRatio,SpecificGravity,IndexLowCalorificPower,,,,
15007,1,1,360,5,360,0,0,0,42,136,163.8,1.2,33.5,150.07,68,12.71,0.87,0,,,,
angle,rawdata,pressure,v,p,dp,dv,hrr,tk,dqw,dqt,k,pmi,w,pt(ns),ROHR[Kcal/cycle],SFC[g/HP.H],,,,,,
98,81.48,3.977,116365.573,4.306,0.113,-1722.35,0.18,486.735,-0.22,-0.04,1.377,0,0,92196,,,,,262,11.058,6.752,
99,81.71,4.207,114639.596,4.415,0.104,-1729.501,0.085,491.654,-0.206,-0.121,1.377,0,0,92382,,,,,261,11.272,6.857,
100,82.717,5.214,112906.779,4.512,0.089,-1736.029,-0.047,494.825,-0.198,-0.245,1.376,0,0,92694,,,,,260,11.473,6.961,
101,82.525,5.022,111167.751,4.593,0.075,-1741.921,-0.168,495.974,-0.197,-0.364,1.376,0,0,92702,,,,,259,11.666,7.073,
102,81.195,3.692,109423.153,4.664,0.07,-1747.165,-0.223,495.744,-0.2,-0.424,1.376,0,0,92544,,,,,258,11.856,7.192,
103,82.341,4.838,107673.64,4.736,0.075,-1751.751,-0.207,495.303,-0.205,-0.412,1.376,0,0,92348,,,,,257,12.051,7.315,
104,82.717,5.214,105919.875,4.817,0.087,-1755.666,-0.151,495.556,-0.207,-0.358,1.376,0,0,92390,,,,,256,12.268,7.451,
105,82.372,4.868,104162.534,4.911,0.1,-1758.9,-0.088,496.826,-0.206,-0.294,1.376,0,0,93064,,,,,255,12.521,7.61,
106,81.941,4.438,102402.304,5.018,0.114,-1761.443,-0.033,499.084,-0.201,-0.234,1.376,0,0,93774,,,,,254,12.821,7.803,
107,83.04,5.537,100639.882,5.138,0.126,-1763.283,0.012,502.203,-0.194,-0.181,1.376,0,0,92470,,,,,253,13.165,8.027,
108,82.702,5.199,98875.974,5.269,0.136,-1764.413,0.041,505.99,-0.184,-0.143,1.375,0,0,91488,,,,,252,13.54,8.271,
109,82.894,5.391,97111.297,5.408,0.143,-1764.821,0.045,510.127,-0.172,-0.127,1.375,0,0,92992,,,,,251,13.931,8.523,
110,82.687,5.184,95346.576,5.553,0.146,-1764.5,0.027,514.234,-0.161,-0.135,1.374,0,0,93372,,,,,250,14.331,8.778,
111,83.817,6.314,93582.544,5.699,0.146,-1763.44,-0.009,517.993,-0.151,-0.16,1.374,0,0,92114,,,,,249,14.742,9.043,
112,83.11,5.606,91819.943,5.844,0.145,-1761.635,-0.055,521.205,-0.143,-0.198,1.374,0,0,92710,,,,,248,15.171,9.327,
113,83.24,5.737,90059.524,5.987,0.141,-1759.077,-0.108,523.736,-0.138,-0.246,1.374,0,0,93572,,,,,247,15.623,9.636,
114,83.763,6.26,88302.042,6.127,0.137,-1755.759,-0.167,525.475,-0.136,-0.302,1.373,0,0,92582,,,,,246,16.091,9.964,
115,84.155,6.652,86548.262,6.262,0.134,-1751.674,-0.22,526.405,-0.136,-0.356,1.373,0,0,92768,,,,,245,16.565,10.303,
116,83.663,6.16,84798.952,6.395,0.133,-1746.816,-0.255,526.708,-0.14,-0.395,1.373,0,0,94292,,,,,244,17.033,10.638,
117,83.725,6.221,83054.889,6.529,0.136,-1741.181,-0.27,526.705,-0.144,-0.414,1.373,0,0,93796,,,,,243,17.495,10.966,
118,84.432,6.929,81316.852,6.668,0.142,-1734.763,-0.271,526.672,-0.149,-0.42,1.373,0,0,92990,,,,,242,17.961,11.293,
119,84.293,6.79,79585.626,6.814,0.15,-1727.558,-0.264,526.755,-0.154,-0.418,1.373,0,0,93714,,,,,241,18.447,11.633,
120,84.555,7.052,77862,6.97,0.162,-1719.562,-0.243,527.113,-0.157,-0.4,1.373,0,0,94106,,,,,240,18.966,11.996,
121,84.293,6.79,76146.766,7.14,0.18,-1710.773,-0.194,528.071,-0.159,-0.353,1.373,0,0,93716,,,,,239,19.524,12.384,
122,84.87,7.367,74440.72,7.332,0.206,-1701.187,-0.115,530.107,-0.156,-0.271,1.373,0,0,94192,,,,,238,20.127,12.795,
123,85.216,7.713,72744.659,7.553,0.238,-1690.802,-0.013,533.662,-0.148,-0.162,1.373,0,0,94352,,,,,237,20.774,13.221,
124,84.724,7.221,71059.383,7.808,0.272,-1679.617,0.086,538.918,-0.133,-0.048,1.372,0,0,93854,,,,,236,21.467,13.659,
125,85.785,8.282,69385.691,8.096,0.302,-1667.632,0.153,545.625,-0.112,0.04,1.371,0,0,94156,,,,,235,22.199,14.103,
126,85.693,8.189,67724.385,8.409,0.321,-1654.846,0.168,553.118,-0.088,0.08,1.371,0,0,94374,,,,,234,22.956,14.547,
127,86.408,8.904,66076.266,8.735,0.33,-1641.259,0.135,560.584,-0.064,0.071,1.37,0,0,93954,,,,,233,23.731,14.996,
128,86.73,9.227,64442.134,9.066,0.334,-1626.872,0.085,567.489,-0.042,0.043,1.369,0,0,93998,,,,,232,24.528,15.462,
129,86.707,9.204,62822.788,9.404,0.343,-1611.687,0.051,573.839,-0.022,0.03,1.369,0,0,93982,,,,,231,25.368,15.964,
130,87.199,9.696,61219.024,9.755,0.36,-1595.707,0.049,580.049,-0.002,0.047,1.368,0,0,93556,,,,,230,26.281,16.526,
131,87.561,10.058,59631.639,10.126,0.383,-1578.933,0.061,586.516,0.019,0.08,1.367,0,0,93860,,,,,229,27.29,17.164,
132,87.776,10.273,58061.422,10.52,0.403,-1561.369,0.06,593.251,0.042,0.101,1.367,0,0,93894,,,,,228,28.399,17.879,
133,88.422,10.919,56509.163,10.93,0.417,-1543.019,0.035,599.93,0.064,0.099,1.366,0,0,93068,,,,,227,29.597,18.667,
134,89.29,11.787,54975.644,11.354,0.43,-1523.888,0.001,606.266,0.086,0.087,1.366,0,0,93500,,,,,226,30.86,19.506,
135,89.244,11.741,53461.645,11.792,0.448,-1503.982,-0.017,612.322,0.106,0.089,1.365,0,0,93906,,,,,225,32.171,20.379,
136,88.983,11.48,51967.937,12.252,0.474,-1483.305,-0.009,618.447,0.127,0.118,1.364,0,0,93158,,,,,224,33.524,21.272,
137,90.313,12.81,50495.289,12.743,0.509,-1461.865,0.018,625.002,0.15,0.168,1.364,0,0,92718,,,,,223,34.925,22.182,
138,91.32,13.817,49044.459,13.272,0.551,-1439.669,0.062,632.242,0.177,0.239,1.363,0,0,93264,,,,,222,36.389,23.117,
139,90.751,13.248,47616.2,13.848,0.603,-1416.724,0.128,640.451,0.209,0.337,1.362,0,0,93484,,,,,221,37.933,24.085,
140,91.773,14.27,46211.258,14.481,0.667,-1393.038,0.217,650.001,0.248,0.465,1.362,0,0,92968,,,,,220,39.574,25.093,
141,92.35,14.847,44830.367,15.183,0.736,-1368.621,0.308,661.121,0.295,0.603,1.36,0,0,92914,,,,,219,41.324,26.141,
142,93.196,15.692,43474.256,15.952,0.8,-1343.482,0.369,673.614,0.35,0.719,1.359,0,0,93318,,,,,218,43.188,27.236,
143,94.479,16.976,42143.64,16.779,0.851,-1317.632,0.381,686.852,0.41,0.791,1.358,0,0,93310,,,,,217,45.161,28.382,
144,94.987,17.484,40839.226,17.65,0.888,-1291.08,0.35,700.111,0.472,0.822,1.357,0,0,92974,,,,,216,47.241,29.591,
145,95.994,18.491,39561.71,18.553,0.919,-1263.838,0.301,712.93,0.534,0.835,1.356,0,0,93010,,,,,215,49.431,30.878,
146,96.947,19.444,38311.776,19.49,0.956,-1235.918,0.263,725.264,0.594,0.858,1.355,0,0,93324,,,,,214,51.736,32.246,
147,97.724,20.22,37090.096,20.469,1.005,-1207.333,0.253,737.408,0.656,0.909,1.354,0,0,93060,,,,,213,54.159,33.69,
148,98.984,21.481,35897.328,21.505,1.07,-1178.095,0.274,749.811,0.721,0.995,1.353,0,0,92720,,,,,212,56.694,35.189,
149,99.791,22.288,34734.119,22.612,1.147,-1148.218,0.316,762.87,0.792,1.107,1.352,0,0,92910,,,,,211,59.324,36.712,
150,100.637,23.134,33601.101,23.8,1.23,-1117.715,0.361,776.768,0.869,1.231,1.35,0,0,92842,,,,,210,62.03,38.23,
151,102.874,25.371,32498.892,25.072,1.312,-1086.602,0.394,791.425,0.954,1.348,1.349,0,0,92590,,,,,209,64.798,39.726,
152,103.566,26.063,31428.095,26.423,1.389,-1054.894,0.41,806.596,1.045,1.455,1.348,0,0,92606,,,,,208,67.625,41.202,
153,105.065,27.562,30389.297,27.851,1.466,-1022.606,0.418,822.073,1.14,1.559,1.347,0,0,92384,,,,,207,70.516,42.665,
154,106.787,29.284,29383.071,29.357,1.549,-989.754,0.435,837.844,1.241,1.676,1.345,0,0,92080,,,,,206,73.476,44.119,
155,108.294,30.791,28409.972,30.952,1.644,-956.354,0.471,854.109,1.349,1.819,1.344,0,0,92516,,,,,205,76.509,45.557,
156,109.639,32.136,27470.539,32.649,1.751,-922.425,0.523,871.133,1.465,1.989,1.343,0,0,92624,,,,,204,79.605,46.956,
157,111.33,33.827,26565.293,34.455,1.862,-887.983,0.577,889.04,1.592,2.169,1.341,0,0,91908,,,,,203,82.731,48.276,
158,113.89,36.387,25694.738,36.37,1.966,-853.046,0.616,907.699,1.728,2.344,1.34,0,0,92094,,,,,202,85.833,49.463,
159,115.605,38.102,24859.361,38.384,2.06,-817.632,0.636,926.817,1.873,2.508,1.339,0,0,92502,,,,,201,88.837,50.453,
160,118.072,40.569,24059.627,40.488,2.147,-781.761,0.649,946.162,2.024,2.673,1.337,0,0,92002,,,,,200,91.666,51.178,
161,119.487,41.984,23295.985,42.68,2.238,-745.451,0.673,965.733,2.183,2.855,1.336,0,0,91966,,,,,199,94.241,51.561,
162,122.746,45.243,22568.864,44.968,2.339,-708.722,0.719,985.74,2.35,3.069,1.334,0,0,92410,,,,,198,96.476,51.508,
163,123.776,46.273,21878.674,47.361,2.449,-671.594,0.787,1006.461,2.528,3.316,1.333,0,0,92260,,,,,197,98.275,50.914,
164,127.49,49.986,21225.802,49.867,2.562,-634.087,0.868,1028.09,2.72,3.588,1.331,0,0,92264,,,,,196,99.526,49.659,
165,129.727,52.223,20610.619,52.484,2.67,-596.222,0.952,1050.684,2.924,3.877,1.33,0,0,92908,,,,,195,100.122,47.638,
166,132.31,54.806,20033.472,55.201,2.76,-558.019,1.024,1074.129,3.142,4.166,1.328,0,0,92962,,,,,194,99.991,44.79,
167,135.231,57.728,19494.687,57.991,2.813,-519.499,1.064,1098.073,3.369,4.434,1.327,0,0,92878,,,,,193,99.138,41.147,
168,138.052,60.549,18994.572,60.808,2.81,-480.685,1.053,1121.878,3.602,4.655,1.325,0,0,93216,,,,,192,97.652,36.844,
169,141.873,64.37,18533.409,63.591,2.743,-441.597,0.987,1144.729,3.832,4.819,1.324,0,0,93408,,,,,191,95.701,32.11,
170,144.356,66.853,18111.461,66.277,2.623,-402.258,0.888,1165.928,4.052,4.94,1.323,0,0,93268,,,,,190,93.486,27.209,
